"Story","Title","Result","Date","Stability","Duration (s)"
"Plan conduce mejor","Construir estilo de conduccion","FAILURE","2020-06-11T19:26:44.65-05:00[America/Bogota]","0.0","15.83"
"Consultar tablero puntaje","Consultar el puntaje","SUCCESS","2020-06-11T19:27:03.061-05:00[America/Bogota]","0.0","69.06"
"Consultar tablero puntaje","Validaciones de campos","SUCCESS","2020-06-11T19:28:12.145-05:00[America/Bogota]","0.0","25.56"
"Consultar tablero zendrive","Consultar tablero zendrive","SUCCESS","2020-06-11T19:28:38.24-05:00[America/Bogota]","0.0","88.33"
"Consultar tablero zendrive","Validaciones de campos","ERROR","2020-06-11T19:30:06.58-05:00[America/Bogota]","0.0","210.85"
