"Story","Title","Result","Date","Stability","Duration (s)"
"Plan conduce mejor","Construir estilo de conduccion","FAILURE","2020-06-11T19:26:44.65-05:00[America/Bogota]","0.0","15.83"
"Consultar tablero zendrive","Validaciones de campos","ERROR","2020-06-11T19:30:06.58-05:00[America/Bogota]","0.0","210.85"
